	HM406CO	HM406TI	HM422CO1	HM422TI1
1045856.EcWSU1_03704	0	0	0	0
V1.CD3-0-PT_GL0009967	0	0	0	0
V1.UC21-4_GL0154431	0	14575000	0	0
1045856.EcWSU1_04103	0	0	0	0
1045856.EcWSU1_04113	0	0	0	0
1045856.EcWSU1_04117	0	4256700	9922200	0
469613.HMPREF0864_03581	0	0	0	0
V1.UC21-4_GL0124070	0	0	0	0
T2D-132A_GL0067816	0	0	12485000	0
T2D-132A_GL0030099	0	0	0	0
1045856.EcWSU1_04389	0	0	0	0
DLM016_GL0043997	0	0	0	0
N040A_GL0051300	0	0	0	0
NLM027_GL0043542	0	0	0	0
NLM027_GL0043562	0	0	0	0
T2D-108A_GL0193553	14623000	0	3691100	0
1048254.C22711_5070	0	2773300	4236300	0
1048689.ECO55CA74_00965	0	0	0	0
1048689.ECO55CA74_02500	10554000	0	5048800	0
290338.CKO_01159	0	7854700	8252300	0
DLM028_GL0039443	0	0	0	0
1049565.KPN2242_08480	0	0	0	0
1049565.KPN2242_23745	0	0	0	0
1072459.CE10_0608	0	0	4127700	0
1072459.CE10_1668	0	0	0	0
O2.UC38-1_GL0040134	0	0	0	0
585054.EFER_4356	0	0	0	0
155864.Z0479	785870	0	3746600	0
155864.Z3168	0	0	0	0
155864.Z3542	5279500	0	8703700	6430100
155864.Z3797	0	0	5524100	3065200
155864.Z3999	5291100	4025700	15089000	11190000
DLF012_GL0028744	701000	0	0	0
155864.Z4465	0	0	11213000	0
155864.Z4979	0	0	18104000	0
155864.Z5906	0	0	0	0
158256496-stool1_revised_C827773_1_gene124377	0	0	14529000	0
158256496-stool1_revised_C845723_1_gene82637	0	0	24512000	0
158256496-stool1_revised_C876413_1_gene133218	0	0	0	0
O2.UC2-2_GL0016138	0	0	0	0
158256496-stool1_revised_C941179_1_gene102900	0	0	7786900	5497800
MH0230_GL0062960	0	0	2279800	2286900
MH0307_GL0131745	0	0	0	0
T2D-47A_GL0092908	0	0	72872000	0
158256496-stool1_revised_C987893_1_gene145773	0	4732800	3252200	4930900
158256496-stool1_revised_scaffold10079_1_gene152864	0	0	0	0
158256496-stool1_revised_scaffold12175_1_gene142433	0	0	129810000	0
MH0181_GL0064162	0	0	0	0
764447348-stool2_revised_scaffold19626_1_gene122957	0	0	0	0
MH0054_GL0005394	0	0	120480000	9457600
158256496-stool1_revised_scaffold14240_1_gene33389	0	0	0	0
158256496-stool1_revised_scaffold14884_1_gene26432	0	0	86784000	0
158256496-stool1_revised_scaffold15836_1_gene100983	2719400	0	13272000	2703900
MH0337_GL0069717	0	0	0	0
158256496-stool1_revised_scaffold21040_1_gene133525	0	0	0	0
O2.UC48-2_GL0067596	13593000	40991000	118540000	13883000
V1.UC26-0_GL0129544	0	0	0	0
158256496-stool1_revised_scaffold2389_2_gene37574	0	0	0	0
MH0037_GL0041051	0	0	0	0
158256496-stool1_revised_scaffold3723_1_gene87052	0	0	0	0
765094712-stool1_revised_scaffold6132_1_gene63129	0	0	0	0
T2D-135A_GL0002480	0	0	15561000	0
158337416-stool1_revised_C1119272_1_gene167650	0	0	7383300	12660000
158337416-stool1_revised_C1135162_1_gene118023	0	0	2036400	0
MH0270_GL0162951	0	0	0	0
158337416-stool1_revised_C1175150_1_gene18245	0	0	0	0
MH0303_GL0076573	0	0	0	0
O2.UC1-2_GL0079222	0	0	15095000	0
158337416-stool1_revised_C1215510_1_gene185151	0	0	0	0
158337416-stool1_revised_C1218220_1_gene17431	0	0	0	0
158337416-stool1_revised_C1221606_1_gene177543	0	0	0	0
158337416-stool1_revised_C1221962_1_gene143459	0	0	0	0
158337416-stool1_revised_C1231616_1_gene67889	0	0	0	0
N085A_GL0002479	0	0	0	0
V1.FI25_GL0042719	0	0	0	0
158337416-stool1_revised_C1261028_1_gene185699	0	0	4709900	0
158337416-stool1_revised_C1268522_1_gene188807	0	0	0	0
V1.UC26-4_GL0040245	0	0	0	0
158337416-stool1_revised_C1273116_1_gene84467	0	0	0	0
158337416-stool1_revised_C1274042_1_gene15181	0	0	0	0
158337416-stool1_revised_C1274840_1_gene218795	0	0	0	0
158337416-stool1_revised_C1283700_1_gene64690	0	1463800	0	0
158337416-stool1_revised_C1284356_1_gene71344	0	0	4200600	0
158337416-stool1_revised_C1284532_1_gene72407	0	0	0	0
158337416-stool1_revised_C1286012_1_gene120605	0	0	20238000	0
158337416-stool1_revised_scaffold1215_2_gene84369	0	0	0	0
MH0081_GL0070317	7942000	0	0	0
158337416-stool1_revised_scaffold13090_1_gene199625	2920200	0	3073200	0
158337416-stool1_revised_scaffold14232_1_gene97815	0	0	0	0
158337416-stool1_revised_scaffold15550_1_gene221684	0	0	0	0
ED19A_GL0008296	0	0	0	0
MH0153_GL0071546	0	15571000	14200000	27694000
158337416-stool1_revised_scaffold26824_1_gene212050	0	0	0	0
158337416-stool1_revised_scaffold27102_1_gene59749	0	0	0	0
158337416-stool1_revised_scaffold27269_1_gene60588	0	0	0	0
159591683-stool2_revised_C247062_1_gene28031	5359100	0	9322800	0
T2D-6A_GL0185062	0	0	0	0
158337416-stool1_revised_scaffold30134_1_gene126719	0	0	5425000	0
N038A_GL0084844	0	0	0	7858300
158337416-stool1_revised_scaffold6032_1_gene191543	0	0	5797200	0
MH0066_GL0074156	0	4491300	0	0
N032A_GL0027543	0	0	0	0
158337416-stool2_revised_C1005656_1_gene83793	0	0	0	0
158337416-stool2_revised_C1007670_1_gene114007	0	0	0	0
158337416-stool2_revised_C1011846_1_gene163993	0	0	0	0
158337416-stool2_revised_C1011964_1_gene9824	0	0	0	0
158337416-stool2_revised_C1015310_1_gene95189	0	0	0	0
MH0262_GL0164622	0	0	0	0
158337416-stool2_revised_C1020854_1_gene73130	0	0	0	0
158337416-stool2_revised_C1026028_1_gene153029	0	0	0	0
158337416-stool2_revised_C1029824_1_gene55554	0	0	0	0
158337416-stool2_revised_C1030196_1_gene103329	0	0	0	0
158337416-stool2_revised_C1032430_1_gene129141	0	0	0	0
MH0375_GL0085635	0	0	0	0
158337416-stool2_revised_C1035906_1_gene96555	0	0	0	0
158337416-stool2_revised_C1039004_1_gene13571	0	0	0	27356000
158337416-stool2_revised_C1043996_1_gene95905	0	6162200	7603400	0
158337416-stool2_revised_C1044594_1_gene29435	0	0	27143000	0
158337416-stool2_revised_C1045768_1_gene102471	0	0	11826000	0
158337416-stool2_revised_C1046582_1_gene59768	0	0	0	0
MH0203_GL0097041	0	0	0	0
158337416-stool2_revised_C984423_1_gene25374	0	0	0	0
SZEY-26A_GL0014635	0	0	0	0
158337416-stool2_revised_scaffold11826_1_gene15643	0	0	9898200	0
158337416-stool2_revised_scaffold12181_1_gene138773	57428000	4377500	123810000	0
158337416-stool2_revised_scaffold12447_1_gene7248	0	0	14465000	0
V1.UC41-0_GL0039115	0	0	5511100	0
158337416-stool2_revised_scaffold13846_1_gene18690	0	0	0	0
158337416-stool2_revised_scaffold15351_1_gene108035	0	0	2657600	0
O2.UC28-1_GL0036235	0	0	0	0
158337416-stool2_revised_scaffold15774_1_gene128780	0	0	0	0
158337416-stool2_revised_scaffold16676_1_gene161551	3786500	1357900	47224000	2658000
764143897-stool2_revised_scaffold13484_1_gene505	0	0	0	0
T2D-22A_GL0129830	0	0	0	0
V1.UC38-0_GL0140403	0	0	0	0
158337416-stool2_revised_scaffold19814_1_gene163200	0	0	29471000	0
158337416-stool2_revised_scaffold20646_1_gene79540	0	0	0	0
N087A_GL0024594	0	0	0	0
158337416-stool2_revised_scaffold21657_1_gene50811	0	0	2145200	0
MH0036_GL0016269	0	0	4324900	0
SZEY-62A_GL0086079	0	0	0	0
158337416-stool2_revised_scaffold873_1_gene57775	0	0	6400900	0
MH0107_GL0028805	0	32172000	0	1303900
158458797-stool1_revised_C1250692_1_gene56424	0	0	3731900	0
158458797-stool1_revised_C1264586_1_gene32374	0	0	0	0
158458797-stool1_revised_C1267106_1_gene118069	0	0	0	0
MH0083_GL0080210	0	0	0	0
158458797-stool1_revised_C1272520_1_gene10147	0	0	0	23500000
158458797-stool1_revised_C1278098_1_gene83317	0	0	0	0
V1.FI24_GL0046595	0	8839300	3497100	0
158458797-stool1_revised_C1281638_1_gene2292	0	0	0	0
MH0004_GL0021064	0	0	0	0
158458797-stool1_revised_C1314442_1_gene99184	0	0	4600000	0
158458797-stool1_revised_C1330474_1_gene26995	0	0	24851000	0
158458797-stool1_revised_C1338184_1_gene171	0	0	16699000	6436100
158458797-stool1_revised_C1343838_1_gene88264	0	0	0	0
158458797-stool1_revised_C1346548_1_gene43539	0	0	0	0
763597684-stool1_revised_scaffold70359_1_gene147094	25106000	0	0	7459700
MH0139_GL0073671	0	0	0	0
158458797-stool1_revised_scaffold15962_1_gene22175	9993300	0	0	0
158458797-stool1_revised_scaffold16218_1_gene118741	0	5137700	0	0
MH0415_GL0238333	0	7076800	0	0
MH0195_GL0093975	0	0	0	0
O2.UC30-0_GL0070657	0	0	0	0
158458797-stool1_revised_scaffold21247_1_gene100702	0	0	0	0
158458797-stool1_revised_scaffold21309_1_gene105851	0	9213000	0	0
MH0298_GL0109777	0	0	0	0
HM466CO_revised_scaffold66315_1_gene406	0	0	0	0
MH0132_GL0057568	0	0	6085700	0
158458797-stool1_revised_scaffold26240_1_gene107652	0	0	7081500	3413700
MH0376_GL0053858	0	0	0	0
158458797-stool1_revised_scaffold27007_1_gene34752	0	0	0	0
158458797-stool1_revised_scaffold27228_1_gene117999	0	0	0	0
MH0402_GL0193572	0	0	0	0
158458797-stool1_revised_scaffold30164_1_gene21872	0	0	0	0
158458797-stool1_revised_scaffold30312_2_gene78957	0	0	6778400	0
158458797-stool1_revised_scaffold30657_1_gene102151	0	0	0	0
158458797-stool1_revised_scaffold30674_1_gene37621	0	0	0	13220000
MH0376_GL0134597	0	0	30457000	0
MH0130_GL0034776	0	0	0	4763800
158458797-stool1_revised_scaffold31977_2_gene35273	0	0	7702700	0
158458797-stool1_revised_scaffold34578_2_gene116086	0	0	47901000	0
158458797-stool1_revised_scaffold5915_1_gene28910	0	1640600	0	0
V1.CD15-3_GL0024351	0	0	0	0
158458797-stool1_revised_scaffold6211_1_gene17795	0	0	0	0
158458797-stool1_revised_scaffold8844_1_gene69049	0	0	0	0
MH0082_GL0031099	0	0	8606900	0
158479027-stool1_revised_C646292_1_gene130156	0	0	0	0
158479027-stool1_revised_C649714_1_gene2416	9621700	0	0	18080000
NOM023_GL0028657	0	0	9669300	0
158479027-stool1_revised_C665234_1_gene18729	106980	296000	146820	0
158479027-stool1_revised_C678798_1_gene55891	0	0	0	0
158479027-stool1_revised_C682850_1_gene84188	0	0	0	0
158479027-stool1_revised_C696672_1_gene31261	0	0	0	0
158479027-stool1_revised_C708838_1_gene134581	0	0	0	0
V1.FI24_GL0024202	0	0	0	0
158479027-stool1_revised_C723011_1_gene12219	0	9022800	0	0
158479027-stool1_revised_C731281_1_gene150593	0	0	0	3706200
158479027-stool1_revised_C734689_1_gene67246	0	0	0	0
DLF001_GL0011492	0	4208800	18010000	0
158479027-stool1_revised_C759731_1_gene68957	0	0	0	0
158479027-stool1_revised_C760055_1_gene32083	0	0	0	0
158479027-stool1_revised_C760607_1_gene21216	0	0	6826900	0
158479027-stool1_revised_C766059_1_gene21975	0	0	0	0
MH0197_GL0086716	0	0	0	0
158479027-stool1_revised_C767761_1_gene54438	0	0	0	0
158479027-stool1_revised_C769873_1_gene20677	0	0	19293000	3842700
764588959-stool1_revised_scaffold22100_1_gene34754	0	0	0	0
158479027-stool1_revised_scaffold10951_1_gene139899	0	0	8319400	0
158479027-stool1_revised_scaffold12560_1_gene34728	0	0	0	0
158479027-stool1_revised_scaffold12710_1_gene12132	0	0	0	0
158479027-stool1_revised_scaffold12988_1_gene4867	0	0	0	0
MH0262_GL0005971	0	0	0	0
158479027-stool1_revised_scaffold17365_1_gene95647	0	0	0	0
158479027-stool1_revised_scaffold21518_3_gene12290	0	20281000	0	0
158479027-stool1_revised_scaffold21726_1_gene110618	6434500	3504700	2539800	0
T2D-57A_GL0065191	51270000	57851000	0	0
158479027-stool1_revised_scaffold26321_1_gene76171	0	0	0	0
MH0094_GL0058330	0	0	0	0
MH0376_GL0059894	0	0	0	0
158479027-stool1_revised_scaffold29204_2_gene103735	0	0	0	0
158479027-stool1_revised_scaffold29486_1_gene68112	0	0	0	0
158479027-stool1_revised_scaffold29592_1_gene81454	0	0	0	0
V1.CD3-3-PN_GL0003169	0	0	0	0
DOM019_GL0082045	0	0	0	0
158479027-stool1_revised_scaffold30034_1_gene5951	0	0	0	0
764285508-stool1_revised_scaffold6773_1_gene93670	0	0	0	0
158479027-stool1_revised_scaffold3294_1_gene90066	0	0	17273000	0
158479027-stool1_revised_scaffold6858_1_gene87852	7533300	0	283730000	5231800
158499257-stool1_revised_C1267152_1_gene34745	0	0	0	1635600
158499257-stool1_revised_C1291724_1_gene40474	0	0	0	0
158499257-stool1_revised_C1299606_1_gene15776	0	0	0	0
158499257-stool1_revised_C1307491_1_gene174035	0	0	0	0
158499257-stool1_revised_C1360232_1_gene2289	0	0	23540000	0
MH0314_GL0051852	0	0	58552000	50639000
V1.UC25-1_GL0109707	0	0	0	0
158499257-stool1_revised_C1386321_1_gene93171	0	2660700	6196500	0
158499257-stool1_revised_C1402323_1_gene144792	0	0	34567000	0
158499257-stool1_revised_C1405895_1_gene166042	0	0	0	0
159490532-stool2_revised_C652276_1_gene85212	0	2091000	0	0
158499257-stool1_revised_C1414953_1_gene71476	0	141240000	848920	0
O2.UC22-1_GL0012856	0	8255300	0	1643900
158499257-stool1_revised_C1443740_1_gene44212	0	0	0	0
158499257-stool1_revised_C1447524_1_gene90592	0	0	0	0
158499257-stool1_revised_C1450846_1_gene208870	0	0	0	0
158499257-stool1_revised_C1452272_1_gene17646	0	7250200	188020000	14028000
158499257-stool1_revised_scaffold12166_2_gene155084	0	0	0	0
HM483CO_revised_scaffold54208_1_gene103912	0	0	0	0
158499257-stool1_revised_scaffold15502_1_gene231158	0	0	0	0
O2.UC60-0_GL0092705	0	0	0	0
V1.FI30_GL0014487	0	0	0	0
158499257-stool1_revised_scaffold19861_1_gene114795	0	0	0	0
158499257-stool1_revised_scaffold19861_1_gene114796	0	5190800	15475000	19719000
158499257-stool1_revised_scaffold23406_1_gene204016	8248800	0	162150000	5397800
MH0054_GL0030018	0	0	4615400	11578000
158499257-stool1_revised_scaffold25643_1_gene106763	35172000	0	0	0
158499257-stool1_revised_scaffold25751_1_gene53312	0	0	0	0
MH0367_GL0163487	0	0	0	0
158499257-stool1_revised_scaffold27064_1_gene24520	0	10961000	18423000	21861000
N062A_GL0016291	0	0	0	0
MH0239_GL0057243	0	0	12406000	0
158499257-stool1_revised_scaffold29466_1_gene17854	0	0	0	0
158499257-stool1_revised_scaffold31648_1_gene55184	0	6911900	4479500	4590500
158499257-stool2_revised_C1212787_1_gene31799	0	0	0	0
MH0428_GL0197053	0	0	0	0
158499257-stool1_revised_scaffold4322_1_gene59805	0	0	0	0
MH0006_GL0153747	0	0	0	0
V1.CD38-0_GL0163640	0	0	0	0
158499257-stool2_revised_C1129779_1_gene174167	0	106690000	0	0
160400887-stool1_revised_C1424882_1_gene111632	0	0	0	0
158499257-stool2_revised_C1184050_1_gene18061	0	0	0	0
158499257-stool2_revised_C1196898_1_gene83263	0	0	0	0
MH0377_GL0110598	0	0	0	0
T2D-113A_GL0120159	10091000	3196200	0	0
158499257-stool2_revised_C1265956_1_gene145153	0	0	0	0
158499257-stool2_revised_C1266168_1_gene196240	4754100	0	0	0
MH0299_GL0046315	0	0	0	0
158499257-stool2_revised_C1286630_1_gene220838	0	10033000	5704200	4001300
158499257-stool2_revised_C1307875_1_gene26913	0	0	0	0
158499257-stool2_revised_C1316853_1_gene169399	0	0	0	0
158499257-stool2_revised_C1325001_1_gene115353	5610900	0	0	0
158499257-stool2_revised_C1325295_1_gene30786	0	0	0	0
158499257-stool2_revised_scaffold13588_2_gene135086	0	0	2141300	0
158499257-stool2_revised_scaffold14492_1_gene195323	0	0	0	0
158499257-stool2_revised_scaffold15618_1_gene162185	0	0	0	0
158499257-stool2_revised_scaffold20551_1_gene169679	0	0	0	0
158499257-stool2_revised_scaffold23382_1_gene145870	0	10042000	0	0
MH0182_GL0081044	0	0	51003000	0
158499257-stool2_revised_scaffold28693_1_gene182460	0	4761900	0	5075400
MH0341_GL0018147	0	0	0	0
158499257-stool2_revised_scaffold29468_1_gene116275	0	0	0	0
158499257-stool2_revised_scaffold34805_1_gene31999	0	0	0	0
158499257-stool2_revised_scaffold37782_1_gene171722	0	0	115500000	10039000
158499257-stool2_revised_scaffold39606_1_gene107414	0	0	0	0
158499257-stool2_revised_scaffold43628_1_gene145849	0	0	5012300	0
158499257-stool2_revised_scaffold5435_2_gene117002	0	0	35037000	0
MH0422_GL0193201	0	0	0	0
158499257-stool2_revised_scaffold57298_1_gene40844	0	0	39721000	1794500
158499257-stool2_revised_scaffold58089_2_gene90654	0	0	28191000	0
O2.UC3-0_GL0013662	0	0	0	0
158499257-stool2_revised_scaffold62922_1_gene98009	0	0	0	0
158499257-stool2_revised_scaffold63407_1_gene111170	0	0	0	0
158499257-stool2_revised_scaffold6358_1_gene2320	0	0	0	0
159227541-stool2_revised_scaffold28853_1_gene158518	0	0	0	0
MH0142_GL0140595	0	4748800	4626300	5739600
158499257-stool2_revised_scaffold65846_1_gene90836	0	0	10044000	0
158499257-stool2_revised_scaffold66482_1_gene82651	0	0	0	0
158499257-stool2_revised_scaffold66889_1_gene110786	0	39211000	0	36654000
MH0101_GL0051944	0	0	0	0
158499257-stool2_revised_scaffold67068_1_gene83168	0	0	0	0
158499257-stool2_revised_scaffold67395_1_gene40147	0	0	0	0
158499257-stool2_revised_scaffold67679_1_gene167855	0	0	7648000	0
158499257-stool2_revised_scaffold67727_1_gene85513	0	4240100	0	0
158499257-stool2_revised_scaffold67938_1_gene122873	0	0	0	0
158499257-stool2_revised_scaffold68132_2_gene181542	0	0	0	0
158499257-stool2_revised_scaffold68682_1_gene222426	0	0	7754700	0
MH0049_GL0025769	0	0	0	0
158499257-stool2_revised_scaffold70932_1_gene177117	11515000	0	3654600	0
158499257-stool2_revised_scaffold71213_1_gene41595	0	0	0	0
158499257-stool2_revised_scaffold72124_1_gene69189	0	0	0	0
158499257-stool2_revised_scaffold8397_2_gene212508	0	0	0	0
158742018-stool1_revised_C697031_1_gene864	35076000	69991000	27375000	27709000
O2.UC54-2_GL0013299	0	0	0	0
MH0101_GL0082482	0	0	0	0
158742018-stool1_revised_C744863_1_gene45123	0	0	0	0
158742018-stool1_revised_C770219_1_gene42889	0	0	14442000	1831300
158742018-stool1_revised_C770449_1_gene98729	0	0	0	4299800
V1.CD3-3-PN_GL0026125	0	0	0	0
MH0457_GL0056162	0	0	0	0
158742018-stool1_revised_scaffold10026_1_gene56428	0	0	0	0
158742018-stool1_revised_scaffold17184_1_gene50964	0	0	383190000	15333000
158742018-stool1_revised_scaffold18399_2_gene1327	0	0	0	0
MH0309_GL0154839	0	0	9625900	0
MH0366_GL0052436	0	0	0	0
T2D-26A_GL0043715	0	0	0	0
MH0342_GL0148553	0	0	0	0
DLM001_GL0073020	0	0	6474400	0
T2D-51A_GL0068099	0	0	0	0
158742018-stool1_revised_scaffold3712_1_gene67793	0	8983300	2240400	0
158742018-stool1_revised_scaffold5087_1_gene30969	1448900	0	20312000	0
158742018-stool1_revised_scaffold6776_1_gene60177	5227600	0	3457800	0
159551223-stool1_revised_C1016197_1_gene86650	0	0	19837000	0
158802708-stool1_revised_C1004067_1_gene36211	0	0	0	0
158802708-stool1_revised_C919635_1_gene81024	0	0	17869000	0
158802708-stool1_revised_C931303_1_gene117921	0	0	0	0
158802708-stool1_revised_C949119_1_gene2977	0	0	0	0
158802708-stool1_revised_C964283_1_gene17828	0	0	0	0
158802708-stool1_revised_C996479_1_gene86325	0	0	0	0
158802708-stool1_revised_scaffold11606_4_gene23532	0	0	0	0
V1.UC37-0_GL0119103	0	0	0	6115900
158802708-stool1_revised_scaffold16809_1_gene78456	0	1721600	0	1406100
158802708-stool1_revised_scaffold21628_1_gene153395	0	0	0	0
158802708-stool1_revised_scaffold22889_1_gene57452	3877600	0	2046500	0
160400887-stool1_revised_C1446634_1_gene251735	0	0	0	0
158802708-stool1_revised_scaffold26150_1_gene120852	13292000	0	0	0
158802708-stool1_revised_scaffold27445_1_gene119417	0	0	0	0
158802708-stool1_revised_scaffold28171_1_gene122390	0	0	0	0
158802708-stool1_revised_scaffold29030_1_gene30425	0	0	23470000	0
158802708-stool1_revised_scaffold30096_1_gene126237	0	0	4608700	0
158802708-stool1_revised_scaffold31980_1_gene61115	11291000	0	9217500	7304900
158802708-stool1_revised_scaffold34715_1_gene31616	0	0	0	0
158802708-stool1_revised_scaffold35481_1_gene175411	0	0	0	0
158802708-stool1_revised_scaffold36525_1_gene153328	0	0	0	0
MH0268_GL0171021	0	0	0	0
158802708-stool1_revised_scaffold38480_1_gene115966	3039500	7136400	100190000	0
158802708-stool1_revised_scaffold38507_1_gene69655	0	63572000	3664500	0
HM414CO_combine_revised_C1340933_1_gene21119	0	0	11989000	0
158802708-stool1_revised_scaffold9240_1_gene40469	0	0	0	0
158802708-stool2_revised_C1011704_1_gene113802	0	0	0	0
MH0418_GL0037458	5937900	0	18857000	0
158802708-stool2_revised_C1043175_1_gene65425	0	2305800	0	0
HM494TI_revised_scaffold74248_1_gene204035	0	0	0	0
MH0246_GL0000478	0	0	0	0
158802708-stool2_revised_C1076801_1_gene115480	0	0	0	0
158802708-stool2_revised_C949270_1_gene100191	0	0	0	0
158802708-stool2_revised_C991372_1_gene82020	0	0	0	0
763678604-stool2_revised_C1075122_1_gene20010	0	0	4016200	0
T2D-11A_GL0045886	0	0	0	0
158802708-stool2_revised_scaffold10123_1_gene119311	0	0	0	0
158802708-stool2_revised_scaffold10589_1_gene33339	0	0	44376000	0
T2D-22A_GL0054274	0	0	0	0
N038A_GL0042050	0	0	0	0
158802708-stool2_revised_scaffold11813_1_gene174802	0	0	0	0
158802708-stool2_revised_scaffold15780_1_gene50887	0	0	821460	0
159632143-stool1_revised_C874798_1_gene43427	0	0	0	0
160400887-stool1_revised_C1497361_1_gene36459	0	0	10348000	0
158802708-stool2_revised_scaffold18724_1_gene36956	0	5355200	0	0
158802708-stool2_revised_scaffold20180_1_gene158125	0	0	0	0
158802708-stool2_revised_scaffold22821_1_gene170905	0	0	80578000	0
158802708-stool2_revised_scaffold23726_1_gene159164	0	28303000	25364000	0
158802708-stool2_revised_scaffold24672_1_gene175826	0	0	0	0
O2.UC40-0_GL0046989	0	0	0	0
158802708-stool2_revised_scaffold4409_1_gene22386	0	0	0	0
MH0274_GL0091662	0	0	0	0
158883629-stool1_revised_scaffold1496_1_gene18951	0	2088500	9596400	2319800
158883629-stool1_revised_scaffold2909_1_gene11950	0	0	189750000	0
158883629-stool1_revised_scaffold322_2_gene11837	3360500	806350	1580300	2261300
158883629-stool1_revised_scaffold720_1_gene30503	0	8047400	0	0
158924089-stool1_revised_C331919_1_gene9376	0	0	0	0
556261.HMPREF0240_02981	0	0	0	0
158924089-stool1_revised_C368254_1_gene22142	0	0	0	0
T2D-34A_GL0023105	0	0	0	0
158924089-stool1_revised_scaffold10680_1_gene63160	0	0	0	0
MH0187_GL0064758	0	0	0	0
158924089-stool1_revised_scaffold11466_2_gene6899	0	0	0	0
158924089-stool1_revised_scaffold12016_1_gene56879	0	0	0	0
158924089-stool1_revised_scaffold14282_1_gene57655	0	0	0	0
158924089-stool1_revised_scaffold14803_1_gene13726	0	5805400	14858000	0
158924089-stool1_revised_scaffold18_1_gene32839	0	2662100	11732000	15683000
158924089-stool1_revised_scaffold18443_1_gene59059	0	0	0	0
158924089-stool1_revised_scaffold18690_1_gene51100	0	0	12685000	0
